timestamp,link_id,utilisation,delta_utilisation,queue_proxy
1776783313.914325,0000000000000004:1,0.000019,0.000000,0.000013
1776783313.914415,0000000000000004:2,0.000020,0.000000,0.000014
1776783313.914489,0000000000000004:3,0.000014,0.000000,0.000010
1776783313.915184,0000000000000001:1,0.000007,0.000000,0.000005
1776783313.915239,0000000000000001:2,0.000040,0.000000,0.000028
1776783313.915276,0000000000000001:3,0.000009,0.000000,0.000006
1776783313.915334,0000000000000003:1,0.000013,0.000000,0.000009
1776783313.915384,0000000000000003:2,0.000007,0.000000,0.000005
1776783313.915869,0000000000000002:1,0.000020,0.000000,0.000014
1776783313.915916,0000000000000002:2,0.000014,0.000000,0.000010
1776783314.915116,0000000000000004:1,0.000027,0.000008,0.000021
1776783314.915217,0000000000000004:2,0.000007,-0.000013,0.000005
1776783314.915262,0000000000000004:3,0.000020,0.000006,0.000016
1776783314.915598,0000000000000001:1,0.000020,0.000013,0.000018
1776783314.915642,0000000000000001:2,0.000014,-0.000026,0.000010
1776783314.915668,0000000000000001:3,0.000017,0.000008,0.000014
1776783314.915697,0000000000000003:1,0.000007,-0.000006,0.000005
1776783314.915729,0000000000000003:2,0.000020,0.000013,0.000018
1776783314.915879,0000000000000002:1,0.000007,-0.000013,0.000005
1776783314.915915,0000000000000002:2,0.000013,-0.000001,0.000009
1776783315.916907,0000000000000004:1,0.000000,-0.000027,0.000000
1776783315.917029,0000000000000004:2,0.000000,-0.000007,0.000000
1776783315.917103,0000000000000004:3,0.000000,-0.000020,0.000000
1776783315.917515,0000000000000003:1,0.000000,-0.000007,0.000000
1776783315.917565,0000000000000003:2,0.000000,-0.000020,0.000000
1776783315.917598,0000000000000001:1,0.000000,-0.000020,0.000000
1776783315.917629,0000000000000001:2,0.000000,-0.000014,0.000000
1776783315.917654,0000000000000001:3,0.000010,-0.000007,0.000007
1776783315.917803,0000000000000002:1,0.000000,-0.000007,0.000000
1776783315.917837,0000000000000002:2,0.000007,-0.000006,0.000005
1776783316.918670,0000000000000004:1,0.000000,0.000000,0.000000
1776783316.918750,0000000000000004:2,0.000000,0.000000,0.000000
1776783316.918782,0000000000000004:3,0.000000,0.000000,0.000000
1776783316.919022,0000000000000003:1,0.000000,0.000000,0.000000
1776783316.919067,0000000000000003:2,0.000000,0.000000,0.000000
1776783316.919111,0000000000000001:1,0.000000,0.000000,0.000000
1776783316.919137,0000000000000001:2,0.000000,0.000000,0.000000
1776783316.919162,0000000000000001:3,0.000000,-0.000010,0.000000
1776783316.919307,0000000000000002:1,0.000000,0.000000,0.000000
1776783316.919341,0000000000000002:2,0.000000,-0.000007,0.000000
1776783317.919122,0000000000000004:1,0.000000,0.000000,0.000000
1776783317.919233,0000000000000004:2,0.000000,0.000000,0.000000
1776783317.919286,0000000000000004:3,0.000000,0.000000,0.000000
1776783317.919702,0000000000000003:1,0.000006,0.000006,0.000006
1776783317.919770,0000000000000003:2,0.000000,0.000000,0.000000
1776783317.919809,0000000000000001:1,0.000006,0.000006,0.000006
1776783317.919837,0000000000000001:2,0.000000,0.000000,0.000000
1776783317.919862,0000000000000001:3,0.000000,0.000000,0.000000
1776783317.920010,0000000000000002:1,0.000006,0.000006,0.000006
1776783317.920044,0000000000000002:2,0.000000,0.000000,0.000000
1776783318.919323,0000000000000004:1,0.000007,0.000007,0.000007
1776783318.919417,0000000000000004:2,0.000006,0.000006,0.000006
1776783318.919480,0000000000000004:3,0.000006,0.000006,0.000006
1776783318.919786,0000000000000001:1,0.000000,-0.000006,0.000000
1776783318.919830,0000000000000001:2,0.000011,0.000011,0.000011
1776783318.919857,0000000000000001:3,0.000007,0.000007,0.000007
1776783318.919889,0000000000000003:1,0.000000,-0.000006,0.000000
1776783318.919917,0000000000000003:2,0.000006,0.000006,0.000006
1776783318.920067,0000000000000002:1,0.000000,-0.000006,0.000000
1776783318.920102,0000000000000002:2,0.000000,0.000000,0.000000
1776783319.921339,0000000000000004:1,0.000000,-0.000007,0.000000
1776783319.921466,0000000000000004:2,0.000000,-0.000006,0.000000
1776783319.921546,0000000000000004:3,0.000000,-0.000006,0.000000
1776783319.921871,0000000000000001:1,0.000000,0.000000,0.000000
1776783319.921926,0000000000000001:2,0.000000,-0.000011,0.000000
1776783319.921963,0000000000000001:3,0.000000,-0.000007,0.000000
1776783319.921994,0000000000000003:1,0.000000,0.000000,0.000000
1776783319.922020,0000000000000003:2,0.000000,-0.000006,0.000000
1776783319.922050,0000000000000002:1,0.000000,0.000000,0.000000
1776783319.922076,0000000000000002:2,0.000006,0.000006,0.000006
1776783320.921686,0000000000000004:1,0.000000,0.000000,0.000000
1776783320.921772,0000000000000004:2,0.000000,0.000000,0.000000
1776783320.921805,0000000000000004:3,0.000000,0.000000,0.000000
1776783320.922172,0000000000000003:1,0.000000,0.000000,0.000000
1776783320.922217,0000000000000003:2,0.000000,0.000000,0.000000
1776783320.922254,0000000000000001:1,0.000000,0.000000,0.000000
1776783320.922291,0000000000000001:2,0.000000,0.000000,0.000000
1776783320.922320,0000000000000001:3,0.000000,0.000000,0.000000
1776783320.922358,0000000000000002:1,0.000000,0.000000,0.000000
1776783320.922389,0000000000000002:2,0.000000,-0.000006,0.000000
1776783321.927318,0000000000000001:1,0.006842,0.006842,0.006842
1776783321.927377,0000000000000001:2,0.006764,0.006764,0.006764
1776783321.927397,0000000000000001:3,0.004609,0.004609,0.004609
1776783321.927829,0000000000000004:1,0.008832,0.008832,0.008832
1776783321.927855,0000000000000004:2,0.003559,0.003559,0.003559
1776783321.927877,0000000000000004:3,0.003480,0.003480,0.003480
1776783321.928009,0000000000000003:1,0.003367,0.003367,0.003367
1776783321.928033,0000000000000003:2,0.003361,0.003361,0.003361
1776783321.929432,0000000000000002:1,0.003529,0.003529,0.003529
1776783321.929471,0000000000000002:2,0.003365,0.003365,0.003365
1776783322.935277,0000000000000003:1,0.005521,0.002154,0.004511
1776783322.935338,0000000000000003:2,0.005384,0.002023,0.004376
1776783322.935596,0000000000000004:1,0.014230,0.005398,0.011580
1776783322.935634,0000000000000004:2,0.005505,0.001946,0.004437
1776783322.935652,0000000000000004:3,0.005408,0.001928,0.004364
1776783322.935956,0000000000000001:1,0.010866,0.004024,0.008814
1776783322.935981,0000000000000001:2,0.010887,0.004123,0.008858
1776783322.936000,0000000000000001:3,0.007245,0.002636,0.005862
1776783322.936890,0000000000000002:1,0.005470,0.001941,0.004411
1776783322.936917,0000000000000002:2,0.005383,0.002018,0.004373
1776783323.944144,0000000000000003:1,0.005219,-0.000302,0.003653
1776783323.944203,0000000000000003:2,0.005196,-0.000188,0.003637
1776783323.950054,0000000000000002:1,0.005177,-0.000293,0.003624
1776783323.950093,0000000000000002:2,0.005157,-0.000226,0.003610
1776783323.950411,0000000000000004:1,0.013676,-0.000554,0.009573
1776783323.950446,0000000000000004:2,0.005211,-0.000293,0.003648
1776783323.950471,0000000000000004:3,0.005254,-0.000153,0.003678
1776783323.950931,0000000000000001:1,0.010332,-0.000535,0.007232
1776783323.950959,0000000000000001:2,0.010315,-0.000572,0.007221
1776783323.950981,0000000000000001:3,0.006850,-0.000394,0.004795
1776783324.951654,0000000000000004:1,0.013347,-0.000329,0.009343
1776783324.951729,0000000000000004:2,0.005060,-0.000151,0.003542
1776783324.951751,0000000000000004:3,0.005067,-0.000187,0.003547
1776783324.955427,0000000000000001:1,0.009995,-0.000337,0.006996
1776783324.955477,0000000000000001:2,0.009861,-0.000455,0.006903
1776783324.955498,0000000000000001:3,0.006757,-0.000094,0.004730
1776783324.956251,0000000000000002:1,0.005056,-0.000121,0.003539
1776783324.956278,0000000000000002:2,0.004905,-0.000251,0.003434
1776783324.974607,0000000000000003:1,0.004809,-0.000409,0.003367
1776783324.974681,0000000000000003:2,0.004875,-0.000321,0.003412
1776783325.962382,0000000000000001:1,0.009185,-0.000810,0.006430
1776783325.962444,0000000000000001:2,0.009169,-0.000691,0.006419
1776783325.962468,0000000000000001:3,0.006149,-0.000608,0.004304
1776783325.962611,0000000000000002:1,0.004626,-0.000429,0.003238
1776783325.962636,0000000000000002:2,0.004574,-0.000331,0.003202
1776783325.963601,0000000000000004:1,0.012042,-0.001306,0.008429
1776783325.963629,0000000000000004:2,0.004612,-0.000448,0.003229
1776783325.963647,0000000000000004:3,0.004562,-0.000505,0.003194
1776783325.973431,0000000000000003:1,0.004621,-0.000189,0.003235
1776783325.973471,0000000000000003:2,0.004646,-0.000229,0.003252
1776783326.962189,0000000000000001:1,0.009803,0.000618,0.007047
1776783326.962245,0000000000000001:2,0.009965,0.000796,0.007215
1776783326.962265,0000000000000001:3,0.006581,0.000432,0.004736
1776783326.969408,0000000000000004:1,0.013002,0.000960,0.009389
1776783326.969445,0000000000000004:2,0.004931,0.000319,0.003547
1776783326.969469,0000000000000004:3,0.004944,0.000382,0.003575
1776783326.979466,0000000000000002:1,0.004804,0.000178,0.003417
1776783326.979499,0000000000000002:2,0.004841,0.000267,0.003469
1776783326.983833,0000000000000003:1,0.004882,0.000261,0.003495
1776783326.983864,0000000000000003:2,0.004877,0.000232,0.003484
1776783327.973641,0000000000000001:1,0.009743,-0.000060,0.006820
1776783327.973705,0000000000000001:2,0.009893,-0.000073,0.006925
1776783327.973726,0000000000000001:3,0.006555,-0.000026,0.004589
1776783327.981076,0000000000000004:1,0.013090,0.000089,0.009190
