timestamp,link_id,utilisation,delta_utilisation,queue_proxy
1776783654.642583,0000000000000001:1,0.000010,0.000000,0.000007
1776783654.642659,0000000000000001:2,0.000028,0.000000,0.000020
1776783654.642689,0000000000000001:3,0.000019,0.000000,0.000013
1776783654.642941,0000000000000004:1,0.000009,0.000000,0.000006
1776783654.642981,0000000000000004:2,0.000014,0.000000,0.000010
1776783654.643008,0000000000000004:3,0.000007,0.000000,0.000005
1776783654.643039,0000000000000003:1,0.000020,0.000000,0.000014
1776783654.643067,0000000000000003:2,0.000019,0.000000,0.000013
1776783654.643238,0000000000000002:1,0.000020,0.000000,0.000014
1776783654.643291,0000000000000002:2,0.000028,0.000000,0.000020
1776783655.643328,0000000000000001:1,0.000027,0.000017,0.000024
1776783655.643410,0000000000000001:2,0.000040,0.000012,0.000032
1776783655.643477,0000000000000001:3,0.000017,-0.000002,0.000012
1776783655.643837,0000000000000002:1,0.000007,-0.000013,0.000005
1776783655.643874,0000000000000002:2,0.000026,-0.000003,0.000018
1776783655.643905,0000000000000004:1,0.000027,0.000017,0.000024
1776783655.643928,0000000000000004:2,0.000020,0.000006,0.000016
1776783655.643948,0000000000000004:3,0.000020,0.000013,0.000018
1776783655.643973,0000000000000003:1,0.000007,-0.000013,0.000005
1776783655.643994,0000000000000003:2,0.000017,-0.000002,0.000012
1776783656.644285,0000000000000001:1,0.000000,-0.000027,0.000000
1776783656.644386,0000000000000001:2,0.000000,-0.000040,0.000000
1776783656.644449,0000000000000001:3,0.000010,-0.000007,0.000007
1776783656.644799,0000000000000003:1,0.000000,-0.000007,0.000000
1776783656.644834,0000000000000003:2,0.000010,-0.000007,0.000007
1776783656.644863,0000000000000004:1,0.000000,-0.000027,0.000000
1776783656.644885,0000000000000004:2,0.000000,-0.000020,0.000000
1776783656.644917,0000000000000004:3,0.000000,-0.000020,0.000000
1776783656.645041,0000000000000002:1,0.000000,-0.000007,0.000000
1776783656.645070,0000000000000002:2,0.000014,-0.000011,0.000010
1776783657.644807,0000000000000001:1,0.000000,0.000000,0.000000
1776783657.644864,0000000000000001:2,0.000000,0.000000,0.000000
1776783657.644886,0000000000000001:3,0.000000,-0.000010,0.000000
1776783657.645077,0000000000000003:1,0.000000,0.000000,0.000000
1776783657.645103,0000000000000003:2,0.000000,-0.000010,0.000000
1776783657.645127,0000000000000004:1,0.000000,0.000000,0.000000
1776783657.645146,0000000000000004:2,0.000000,0.000000,0.000000
1776783657.645162,0000000000000004:3,0.000000,0.000000,0.000000
1776783657.645275,0000000000000002:1,0.000000,0.000000,0.000000
1776783657.645299,0000000000000002:2,0.000000,-0.000014,0.000000
1776783658.645980,0000000000000001:1,0.000007,0.000007,0.000007
1776783658.646037,0000000000000001:2,0.000000,0.000000,0.000000
1776783658.646068,0000000000000001:3,0.000000,0.000000,0.000000
1776783658.646339,0000000000000003:1,0.000006,0.000006,0.000006
1776783658.646377,0000000000000003:2,0.000000,0.000000,0.000000
1776783658.646410,0000000000000004:1,0.000000,0.000000,0.000000
1776783658.646449,0000000000000004:2,0.000000,0.000000,0.000000
1776783658.646497,0000000000000004:3,0.000000,0.000000,0.000000
1776783658.646619,0000000000000002:1,0.000006,0.000006,0.000006
1776783658.646650,0000000000000002:2,0.000000,0.000000,0.000000
1776783659.647131,0000000000000001:1,0.000000,-0.000007,0.000000
