timestamp,link_id,utilisation,delta_utilisation,queue_proxy
1776783489.148013,0000000000000004:1,0.000019,0.000000,0.000013
1776783489.148090,0000000000000004:2,0.000020,0.000000,0.000014
1776783489.148127,0000000000000004:3,0.000014,0.000000,0.000010
1776783489.148362,0000000000000001:1,0.000027,0.000000,0.000019
1776783489.148402,0000000000000001:2,0.000028,0.000000,0.000020
1776783489.148448,0000000000000001:3,0.000027,0.000000,0.000019
1776783489.148498,0000000000000003:1,0.000014,0.000000,0.000010
1776783489.148531,0000000000000003:2,0.000010,0.000000,0.000007
1776783489.148683,0000000000000002:1,0.000007,0.000000,0.000005
1776783489.148738,0000000000000002:2,0.000026,0.000000,0.000018
1776783490.148839,0000000000000004:1,0.000027,0.000008,0.000021
1776783490.148906,0000000000000004:2,0.000007,-0.000013,0.000005
1776783490.148928,0000000000000004:3,0.000020,0.000006,0.000016
1776783490.149151,0000000000000001:1,0.000010,-0.000017,0.000007
1776783490.149178,0000000000000001:2,0.000040,0.000012,0.000032
1776783490.149197,0000000000000001:3,0.000010,-0.000017,0.000007
1776783490.149221,0000000000000002:1,0.000013,0.000006,0.000011
1776783490.149240,0000000000000002:2,0.000014,-0.000011,0.000010
1776783490.149261,0000000000000003:1,0.000020,0.000006,0.000016
1776783490.149279,0000000000000003:2,0.000027,0.000017,0.000024
1776783491.150562,0000000000000001:1,0.001721,0.001711,0.001718
1776783491.150615,0000000000000001:2,0.001347,0.001307,0.001335
1776783491.150634,0000000000000001:3,0.000877,0.000867,0.000874
1776783491.150655,0000000000000004:1,0.001653,0.001626,0.001645
1776783491.150671,0000000000000004:2,0.000730,0.000723,0.000728
1776783491.150686,0000000000000004:3,0.000678,0.000658,0.000672
1776783491.150982,0000000000000003:1,0.000654,0.000634,0.000648
1776783491.151007,0000000000000003:2,0.000850,0.000823,0.000842
1776783491.151027,0000000000000002:1,0.000724,0.000711,0.000720
1776783491.151044,0000000000000002:2,0.001259,0.001244,0.001255
1776783492.155086,0000000000000001:1,0.013036,0.011315,0.012520
1776783492.155140,0000000000000001:2,0.009693,0.008347,0.009289
1776783492.155158,0000000000000001:3,0.006529,0.005652,0.006266
1776783492.156038,0000000000000003:1,0.004894,0.004240,0.004698
1776783492.156062,0000000000000003:2,0.006370,0.005520,0.006115
1776783492.156083,0000000000000004:1,0.012672,0.011019,0.012176
1776783492.156100,0000000000000004:2,0.004963,0.004233,0.004744
1776783492.156115,0000000000000004:3,0.004919,0.004242,0.004716
1776783492.157883,0000000000000002:1,0.004852,0.004128,0.004635
1776783492.157912,0000000000000002:2,0.009604,0.008345,0.009226
1776783493.164016,0000000000000004:1,0.013654,0.000982,0.009853
1776783493.196780,0000000000000004:2,0.005043,0.000081,0.003554
1776783493.196842,0000000000000004:3,0.005108,0.000188,0.003632
1776783493.202275,0000000000000001:1,0.013428,0.000392,0.009517
1776783493.202315,0000000000000001:2,0.010054,0.000360,0.007146
1776783493.202339,0000000000000001:3,0.006627,0.000098,0.004668
1776783493.202371,0000000000000002:1,0.005079,0.000227,0.003624
1776783493.202395,0000000000000002:2,0.010127,0.000523,0.007246
1776783493.206041,0000000000000003:1,0.005011,0.000117,0.003543
1776783493.206080,0000000000000003:2,0.006701,0.000332,0.004790
1776783494.176965,0000000000000002:1,0.004477,-0.000602,0.003134
1776783494.177040,0000000000000002:2,0.008733,-0.001393,0.006113
1776783494.179476,0000000000000001:1,0.011732,-0.001696,0.008212
1776783494.179533,0000000000000001:2,0.008795,-0.001258,0.006157
1776783494.179562,0000000000000001:3,0.005954,-0.000673,0.004168
1776783494.180004,0000000000000004:1,0.011393,-0.002262,0.007975
1776783494.180034,0000000000000004:2,0.004462,-0.000582,0.003123
1776783494.180062,0000000000000004:3,0.004452,-0.000656,0.003116
1776783494.187060,0000000000000003:1,0.004432,-0.000579,0.003102
1776783494.187115,0000000000000003:2,0.005822,-0.000879,0.004076
1776783495.180108,0000000000000001:1,0.012281,0.000549,0.008761
1776783495.180160,0000000000000001:2,0.009167,0.000372,0.006528
1776783495.180196,0000000000000001:3,0.006170,0.000216,0.004383
1776783495.181813,0000000000000002:1,0.004591,0.000114,0.003248
1776783495.181838,0000000000000002:2,0.009142,0.000409,0.006522
1776783495.187433,0000000000000004:1,0.012047,0.000654,0.008629
1776783495.187468,0000000000000004:2,0.004613,0.000151,0.003274
1776783495.187486,0000000000000004:3,0.004596,0.000144,0.003260
1776783495.191161,0000000000000003:1,0.004567,0.000135,0.003237
